"state_postal_abbr","data_year","officer","officer_rate_per_1000","civilian_count","civilian__rate_per_1000","population"
"AZ",1961,,,,,646260
"AZ",1962,,,,,1216858
"AZ",1963,,,,,1294702
"AZ",1964,,,,,1440865
"AZ",1965,,,,,1431601
"AZ",1966,,,,,1380471
"AZ",1967,,,,,1361906
"AZ",1968,,,,,1536078
"AZ",1969,,,,,1516381
"AZ",1970,,,,,1594509
"AZ",1971,2796,1.62632269592651534000,519,0.30188178797777592000,1719216
"AZ",1972,4078,2.09911335881300750000,1168,0.60121736221029739000,1942725
"AZ",1973,3368,1.77297590953190383000,828,0.43587412502743954000,1899631
"AZ",1974,3409,1.88347640350484626000,1004,0.55471114963885763000,1809951
"AZ",1975,4340,1.96519521542886537000,1366,0.61853840190687329000,2208432
"AZ",1976,4031,1.93801524354038990000,1426,0.68558911865259142000,2079963
"AZ",1977,4340,1.91100864269070017000,1834,0.80755526513703781000,2271052
"AZ",1978,4491,1.90860376136460707000,2021,0.85889294182094653000,2353029
"AZ",1979,4698,1.91991996655465090000,2110,0.86228844815460055000,2446977
"AZ",1980,4909,1.80984297980747606000,2277,0.83948104807936912000,2712390
"AZ",1981,4910,1.76084118718710103000,2459,0.88185508743239948000,2788440
"AZ",1982,4918,1.74549987205109722000,2600,0.92279375098268661000,2817531
"AZ",1983,5979,2.04074666957925599000,3373,1.15126919493072930000,2929810
"AZ",1984,6012,2.07268176474441407000,3544,1.22182038826583557000,2900590
"AZ",1985,6221,2.01194098780772170000,4152,1.34280324407292405000,3092039
"AZ",1986,6723,2.05886649339481452000,4370,1.33827853281798891000,3265389
"AZ",1987,5989,1.79034624022805466000,3921,1.17214019167376896000,3345163
"AZ",1988,6094,1.78226375573335299000,4098,1.19850949638911725000,3419247
"AZ",1989,6571,2.10570774660750646000,4637,1.48594838244087771000,3120566
"AZ",1990,7427,2.07188581780627826000,4949,1.38060628952784046000,3584657
"AZ",1991,7589,2.06839015251140831000,5089,1.38701245040592395000,3669037
"AZ",1992,7521,1.99278295146496441000,5323,1.41039537968993558000,3774119
"AZ",1993,7877,2.00574605375766096000,5584,1.42187202795261886000,3927217
"AZ",1994,8159,2.00619981887893289000,5530,1.35976038710632416000,4066893
"AZ",1995,8613,2.06892128562811927000,5875,1.41122867213110422000,4163039
"AZ",1996,9009,2.03977343096049578000,6569,1.48732064246636661000,4416667
"AZ",1997,8310,1.82834421979205720000,6003,1.32076418187866659000,4545096
"AZ",1998,9759,2.09629870849612102000,7084,1.52169075222733080000,4655348
"AZ",1999,10268,2.15803417966328109000,7357,1.54622686597027260000,4758034
"AZ",2000,10434,2.03868977546471830000,7589,1.48280781157770243000,5117993
"AZ",2001,10810,2.04053780346393090000,7738,1.46065509002811261000,5297623
"AZ",2002,10964,2.01396624236955876000,7767,1.42671249584862850000,5443984
"AZ",2003,11003,2.00445048854267906000,7852,1.43042308788849550000,5489285
"AZ",2004,11317,2.01113847640044420000,8492,1.50910912269970594000,5627161
"AZ",2005,11572,1.98973152723758825000,8988,1.54542922284924328000,5815860
"AZ",2006,11932,1.93909720171632529000,9502,1.54419222349216585000,6153379
"AZ",2007,12354,2.04045195168386836000,9790,1.61696815662822335000,6054541
"AZ",2008,12900,2.02113733628200036000,10012,1.56865325665545640000,6382545
"AZ",2009,12971,2.00099316891692909000,9939,1.53325658051540808000,6482281
"AZ",2010,12606,1.99983786813412398000,9524,1.51090400254715190000,6303511
"AZ",2011,12069,1.97099120329429402000,8690,1.41916592564648397000,6123315
"AZ",2012,13014,1.98588335109804212000,9985,1.52367029819532431000,6553255
"AZ",2013,11955,1.85263874334839929000,9237,1.43143655979164904000,6452958
"AZ",2014,12663,1.88116023153289824000,10154,1.50843409863263435000,6731484
"AZ",2015,12807,1.87564119556565440000,9846,1.44198978773634990000,6828065
"AZ",2016,12474,1.79972186116691057000,9796,1.41334578739707038000,6931071
"AZ",2017,12862,1.83316776577868298000,9888,1.40929582242416555000,7016270
"AZ",2018,12885,1.79699218235182136000,9715,1.35489166096608029000,7170315
"AZ",2019,13029,1.79001326744809559000,10058,1.38183693637216559000,7278717
"AZ",2020,12758,1.73352283690101881000,9768,1.32724965283344973000,7359580
"CA",1960,,,,,10349487
"CA",1961,,,,,14020604
"CA",1962,,,,,15267533
"CA",1963,,,,,14583400
"CA",1964,,,,,13999108
"CA",1965,,,,,16697832
"CA",1966,,,,,17453048
"CA",1967,,,,,17523404
"CA",1968,,,,,15437615
"CA",1969,,,,,15381965
"CA",1970,,,,,18268527
"CA",1971,33371,1.89853642418165690000,6833,0.38874170346807892000,17577224
"CA",1972,43487,2.21855074105165743000,12904,0.65831579006440057000,19601535
"CA",1973,39596,1.99604722560223451000,12135,0.61172929292562672000,19837206
"CA",1974,34654,1.82413542671130343000,11116,0.58512983792124571000,18997493
"CA",1975,40646,2.05235396102395729000,13910,0.70236292864840934000,19804576
"CA",1976,41170,2.00140881290740969000,14273,0.69385737154791009000,20570510
"CA",1977,45869,2.29267370068494808000,16658,0.83261807551962905000,20006772
"CA",1978,42183,2.00048543178246510000,14666,0.69551998062066788000,21086382
"CA",1979,42145,1.96143532852889884000,14929,0.69479814971189775000,21486816
"CA",1980,42290,1.92901137779170116000,15747,0.71828191454447667000,21923147
"CA",1981,44074,1.92728645640700526000,16653,0.72820940596600850000,22868422
"CA",1982,44567,1.91446232011938939000,17166,0.73739897653352118000,23279121
"CA",1983,50774,2.13768143704870456000,20428,0.86005743876848263000,23751902
"CA",1984,51964,2.15398907883929983000,21284,0.88225509110183315000,24124542
"CA",1985,50987,2.06435255823312766000,22140,0.89640036949185962000,24698785
"CA",1986,52443,2.07391977956648619000,22760,0.90007082323538367000,25286899
"CA",1987,52887,2.04475092059606653000,22690,0.87725524965161097000,25864764
"CA",1988,50527,1.92380979142158338000,21430,0.81594481821925964000,26264031
"CA",1989,57625,2.14582349947263944000,25524,0.95045551410914792000,26854492
"CA",1990,58022,2.22750443949904146000,25774,0.98948156602061795000,26047984
"CA",1991,61139,2.21072910344103407000,27805,1.00540281524359169000,27655582
"CA",1992,60325,2.16654299504124728000,27852,1.00029101529861283000,27843897
"CA",1993,58769,2.10198389953798130000,26981,0.96502624842066861000,27958825
"CA",1994,59326,2.10697005198099614000,27609,0.98053696802655366000,28157021
"CA",1995,61568,2.18443782480686594000,28713,1.01873965799895305000,28184826
"CA",1996,64238,2.22275562944056752000,30290,1.04809097443498848000,28900163
"CA",1997,58186,2.04020829577879971000,27696,0.97112035472260744000,28519637
"CA",1998,67159,2.31336361464382350000,31551,1.08680795434159644000,29030888
"CA",1999,71499,2.48773641872634117000,35767,1.24447710441523720000,28740585
"CA",2000,69081,2.37748178764494152000,34622,1.19154578613284645000,29056374
"CA",2001,71050,2.34881499390927974000,35194,1.16346509353473879000,30249296
"CA",2002,74174,2.41719910125582315000,39653,1.29222093944100568000,30685929
"CA",2003,74911,2.42047640776240396000,39334,1.27093509662034144000,30948866
"CA",2004,73864,2.36184483538935299000,38720,1.23809476911994676000,31273858
"CA",2005,72853,2.33966691644566530000,38209,1.22707827008458712000,31138193
"CA",2006,75483,2.38414609648547624000,40429,1.27695828908245988000,31660392
"CA",2007,78516,2.47810918337723900000,42460,1.34011559333381181000,31683834
"CA",2008,81286,2.55578272646044121000,42220,1.32747517052333523000,31804738
"CA",2009,80321,2.52324826094535624000,41558,1.30552596741035488000,31832381
